gene_id	gene_name	SRX25004070	SRX25004071	SRX25004072	SRX25004073	SRX25004074	SRX25004075	SRX25004076	SRX25004077	SRX25004078	SRX25004080
SNORD107	SNORD107	0	0	0	0	0	0	0	0	0	0
SNORD108	SNORD108	0	0	0	0	0	0	0	0	0	0
SNORD109A	SNORD109A	0	0	0	0	0	0	0	0	0	0
SNORD11	SNORD11	0	0	0	0	0	0	0	0	0	0
SNORD110	SNORD110	6	13	6	5	6	6	11	8	1	7
SNORD111	SNORD111	0	0	0	0	0	0	0	0	0	0
SNORD111B	SNORD111B	0	0	0	1	1	0	0	0	0	0
SNORD112	SNORD112	0	0	0	0	0	0	0	0	0	0
SNORD113-1	SNORD113-1	0	0	0	0	0	0	0	0	0	0
SNORD113-2	SNORD113-2	0	0	0	0	0	0	0	0	0	0
SNORD113-3	SNORD113-3	0	0	0	0	0	0	0	0	0	0
SNORD113-4	SNORD113-4	0	0	0	0	0	0	0	0	0	0
SNORD113-5	SNORD113-5	0	0	0	0	0	0	0	0	0	0
SNORD113-6	SNORD113-6	0	0	0	0	0	0	0	0	0	0
SNORD113-7	SNORD113-7	0	0	0	0	0	0	0	0	0	0
SNORD113-8	SNORD113-8	0	0	0	0	0	0	0	0	0	0
SNORD113-9	SNORD113-9	0	0	0	0	0	0	0	0	0	0
SNORD114-1	SNORD114-1	0	3	0	0	0	0	0	0	0	0
SNORD114-10	SNORD114-10	0	0	0	0	0	0	0	0	0	0
SNORD114-11	SNORD114-11	0	1	0	0	0	0	0	0	0	0
SNORD114-12	SNORD114-12	0	0	0	0	0	0	0	0	0	0
SNORD114-13	SNORD114-13	0	0	0	0	0	0	0	0	0	0
SNORD114-14	SNORD114-14	0	0	0	0	0	1	0	0	0	0
SNORD114-15	SNORD114-15	0	0	0	0	0	0	0	0	0	0
SNORD114-16	SNORD114-16	0	0	0	0	0	0	0	0	0	0
SNORD114-17	SNORD114-17	0	0	0	0	0	0	0	0	0	0
SNORD114-18	SNORD114-18	0	0	0	0	0	0	0	0	0	0
SNORD114-19	SNORD114-19	0	0	0	0	0	0	0	0	0	0
SNORD114-2	SNORD114-2	0	0	0	0	0	0	0	0	0	0
SNORD114-20	SNORD114-20	0	0	0	0	0	0	0	0	0	0
SNORD114-21	SNORD114-21	0	0	0	0	0	0	0	0	0	0
SNORD114-22	SNORD114-22	0	0	0	0	0	0	0	0	0	0
SNORD114-23	SNORD114-23	0	0	0	0	0	0	0	0	0	0
SNORD114-24	SNORD114-24	0	0	0	0	0	0	0	0	0	0
SNORD114-25	SNORD114-25	0	0	0	0	0	0	0	0	0	0
SNORD114-26	SNORD114-26	0	0	0	0	0	0	0	0	0	0
SNORD114-27	SNORD114-27	0	0	0	0	0	0	0	0	0	0
SNORD114-28	SNORD114-28	0	0	0	0	0	0	0	0	0	0
SNORD114-29	SNORD114-29	0	0	0	0	0	0	0	0	0	0
SNORD114-3	SNORD114-3	0	0	0	0	0	0	0	0	0	0
SNORD114-30	SNORD114-30	0	0	0	0	0	0	0	0	0	0
SNORD114-31	SNORD114-31	0	0	0	0	0	0	0	0	0	0
SNORD114-4	SNORD114-4	0	0	0	0	0	0	0	0	0	0
SNORD114-5	SNORD114-5	0	0	0	0	0	0	0	0	0	0
SNORD114-6	SNORD114-6	0	0	0	0	0	0	0	0	0	0
SNORD114-7	SNORD114-7	0	0	0	0	0	0	0	0	0	0
SNORD114-8	SNORD114-8	0	0	0	0	0	0	0	0	0	0
SNORD114-9	SNORD114-9	0	0	0	0	0	0	0	0	0	0
SNORD115-1	SNORD115-1	0	0	0	0	0	0.167	0	0	0	0
SNORD115-10	SNORD115-10	0	0	0	0	0	0	0	0	0	0
SNORD115-11	SNORD115-11	0	0	0	0	0	0.167	0	0	0	0
SNORD115-12	SNORD115-12	0	0	0	0	0	0	0	0	0	0
SNORD115-13	SNORD115-13	0	0	0	0	0	0	0	0	0	0
SNORD115-14	SNORD115-14	0	0	0	0	0	0	0	0	0	0
SNORD115-15	SNORD115-15	0	0	0	0	0	0	0	0	0	0
SNORD115-16	SNORD115-16	0	0	0	0	0	0.167	0	0	0	0
SNORD115-17	SNORD115-17	0	0	0	0	0	1	0	0	0	0
SNORD115-2	SNORD115-2	0	0	0	0	0	0	0	0	0	0
SNORD115-20	SNORD115-20	0	0	0	0	0	0	0	0	0	0
SNORD115-21	SNORD115-21	0	0	0	0	0	0	0	0	0	0
SNORD115-22	SNORD115-22	0	0	0	0	0	0	0	0	0	0
SNORD115-23	SNORD115-23	0	0	1	0	1	0	0	0	0	0
SNORD115-24	SNORD115-24	0	0	0	0	0	0	0	0	0	0
SNORD115-25	SNORD115-25	0	0	0	0	0	0	0	0	0	0
SNORD115-26	SNORD115-26	0	0	0	0	0	0.167	4	0	0	0
SNORD115-27	SNORD115-27	0	0	0	0	0	0	0	0	0	0
SNORD115-28	SNORD115-28	0	0	0	0	0	0	0	0	0	0
SNORD115-3	SNORD115-3	0	0	0	0	0	0	0	0	0	0
SNORD115-30	SNORD115-30	0	0	0	0	0	0	0	0	0	0
SNORD115-31	SNORD115-31	0	0	0	0	0	0	0	0	0	0
SNORD115-32	SNORD115-32	0	0	0	0	0	0	0	0	0	0
SNORD115-33	SNORD115-33	0	0	1	0	1	0	0	0	0	0
SNORD115-34	SNORD115-34	0	1	0	0	0	0	0	0	0	0
SNORD115-35	SNORD115-35	0	0	0	0	0	0	0	0	0	0
SNORD115-37	SNORD115-37	0	1	0	0	0	0	0	0	0	0
SNORD115-38	SNORD115-38	0	0	0	0	3	0	0	0	0	0
SNORD115-39	SNORD115-39	0	0	0	0	0	0.167	0	0	0	0
SNORD115-4	SNORD115-4	0	0	0	0	0	0	0	0	0	0
SNORD115-40	SNORD115-40	0	0	0	0	0	0	0	0	0	0
SNORD115-41	SNORD115-41	0	0	1	0	0	0.167	0	0	0	0
SNORD115-42	SNORD115-42	0	0	0	0	0	0	0	0	0	0
SNORD115-44	SNORD115-44	0	0	0	0	0	0	0	1	0	0
SNORD115-45	SNORD115-45	0	0	0	0	0	0	0	0	0	0
SNORD115-47	SNORD115-47	0	0	0	0	0	0	0	0	0	0
SNORD115-48	SNORD115-48	0	0	0	0	0	0	0	0	0	0
SNORD115-5	SNORD115-5	0	0	0	0	0	0	0	0	0	0
SNORD115-6	SNORD115-6	0	0	0	0	0	0	0	0	0	0
SNORD115-7	SNORD115-7	0	0	0	0	0	0	0	0	0	0
SNORD115-8	SNORD115-8	0	0	0	0	0	0	0	0	0	0
SNORD116-1	SNORD116-1	0	7	7	5	5	1.021	4	3	2	6
SNORD116-10	SNORD116-10	0	0	0	0	0	0	0	0	0	0
SNORD116-11	SNORD116-11	2	0	2	0	1	1	0	2	0	3
SNORD116-12	SNORD116-12	0	4	1	0	0	0	0	1	0	0
SNORD116-13	SNORD116-13	3	0	1	3	4	0	1	2	1	3
SNORD116-14	SNORD116-14	10.252	3.124	10.572	16.834	5.088	5.48	6.138	3.047	3.166	7.15
SNORD116-15	SNORD116-15	92.913	39.883	152.958	73.551	108.181	84.678	59.545	93.188	99.659	72.191
SNORD116-16	SNORD116-16	23.99	2.947	27.369	21.682	28.939	5.956	5.246	22.867	26.907	22.815
SNORD116-17	SNORD116-17	0	0	77.208	0	0	0	13.835	0	46.996	0
SNORD116-18	SNORD116-18	0	0	0	1.319	0	0	0	0	0	0
SNORD116-19	SNORD116-19	50.191	34.361	0	56.101	68.573	57.759	0	41.583	0	44.269
SNORD116-2	SNORD116-2	6.751	7	8.151	3	3.762	1.551	6	6.842	3.935	15.433
SNORD116-20	SNORD116-20	12	13	26.158	17.278	26	31.509	9	28	14.078	9.061
SNORD116-21	SNORD116-21	17.185	3.861	12.52	17.109	29.983	21.291	5.404	13.225	20.05	10.092
SNORD116-22	SNORD116-22	17.469	10.826	22.984	20.125	26.235	11.252	16.832	15.95	22.738	14.423
SNORD116-23	SNORD116-23	35	2	13.113	18	35	8.04	10	19.092	18.299	28
SNORD116-24	SNORD116-24	7	4	13.118	3	6	6.035	3	10.049	6.107	2
SNORD116-25	SNORD116-25	3	20	6	3	7	5	3	2	1	20
SNORD116-26	SNORD116-26	4	12	3	7	3	1	2	0	3	9
SNORD116-27	SNORD116-27	3	0	0	2	0	0	3	0	0	1
SNORD116-28	SNORD116-28	0	1	0	0	0	0	0	0	0	0
SNORD116-29	SNORD116-29	0	7	3	2	1	1	3	2	0	10
SNORD116-3	SNORD116-3	13.451	90.727	22.62	10.355	15.696	14.701	10.337	12.603	6	53.785
SNORD116-4	SNORD116-4	0	1	0	0	0	0	0	0	0	1.025
SNORD116-5	SNORD116-5	14.549	14.919	23.002	12.645	16.002	16.093	10.532	8.397	18	29.538
SNORD116-6	SNORD116-6	2.249	0	12.636	6	12.238	6.449	0	5.158	2.065	8.542
SNORD116-8	SNORD116-8	0	3.354	5.591	0	3.302	10.185	1.131	0	0	6.676
SNORD117	SNORD117	0	9	0	0	1	1	0	0	1	7
SNORD118	SNORD118	0	89.426	11.695	0	0	0	0	0	0	30.027
SNORD119	SNORD119	6	0	1	0	1	1	0	0	0	0
SNORD11B	SNORD11B	1	0	0	1	0	0	0	0	0	0
SNORD12	SNORD12	2	5	2	0	0	0	0	0	1	0
SNORD121A	SNORD121A	0	0	0	0	0	0	0	0	0	0
SNORD121B	SNORD121B	0	0	0	0	0	0	0	0	0	0
SNORD123	SNORD123	0	0	0	0	0	0	0	0	0	0
SNORD124	SNORD124	0	2	0	1	0	0	0	0	0	0
SNORD125	SNORD125	0	0	0	0	0	0	0	0	0	0
SNORD126	SNORD126	0	0	0	0	0	0	0	0	0	0
SNORD127	SNORD127	0	0	1	0	0	0	1	1	0	1
SNORD12B	SNORD12B	2	8	0	1	1	3	2	1	4	1
SNORD12C	SNORD12C	0	0	0	0	0	0	0	0	0	0
SNORD13	SNORD13	472	2032	673	405	419	407	232	412	325	806
SNORD14A	SNORD14A	7	12	9	3	7	9	1	2	4	8
SNORD14B	SNORD14B	2	39	9	7	8	8	1	3	7	12
SNORD14C	SNORD14C	9	75	22	13	30	13	10	17	11	49
SNORD14D	SNORD14D	7	43	7	4	9	8	6	5	6	11
SNORD14E	SNORD14E	0	0	1	1	0	0	0	0	0	0
SNORD15A	SNORD15A	4	172	21	11	6	12	6	11	15	36
SNORD15B	SNORD15B	149.945	1579.691	241.091	170.569	135.795	132.773	79	111	99.442	394.206
SNORD16	SNORD16	5	15	1	0	0	0	0	2	2	3
SNORD17	SNORD17	4549.349	8522.165	4490.851	4402.023	3635.422	3449.741	2454.516	2935.537	2606.049	6518.891
SNORD18A	SNORD18A	0	0	0	0	0	0	0	0	0	0
SNORD18B	SNORD18B	0	0	0	0	0	0	0	0	0	0
SNORD18C	SNORD18C	0	0	0	0	0	0	0	0	0	0
SNORD19	SNORD19	0	0	0	0	0	0	0	0	0	0
SNORD19B	SNORD19B	0	0	0	0	0	0	0	0	0	0
SNORD1A	SNORD1A	0	0	0	0	0	0	0	0	0	0
SNORD1B	SNORD1B	0	0	0	0	0	0	0	0	0	0
SNORD1C	SNORD1C	2	16	0	0	6	2	0	3	0	10
SNORD2	SNORD2	0	1	0	0	0	0	0	0	0	1
SNORD20	SNORD20	0	0	0	0	0	0	0	0	0	0
SNORD21	SNORD21	6	34	11	18	13	14	3	6	8	18
SNORD22	SNORD22	67.832	1921.012	116.74	76.888	85.028	57	43	64.025	39	289
SNORD23	SNORD23	0	0	0	2	1	1	0	0	2	1
SNORD24	SNORD24	5	16	8	5	2	2	2	0	1	1
SNORD25	SNORD25	0	1	0	0	0	0	0	0	0	2
SNORD26	SNORD26	27	200	37	21	26	25	12	11	10	46
SNORD27	SNORD27	12	18	16	10	10	13	7	0	15	5
SNORD28	SNORD28	2	14	3	9	3	3	1	4	3	0
SNORD29	SNORD29	9	32	11	7	11	7	3	8	7	1
SNORD30	SNORD30	0	2	0	0	0	0	0	0	0	0
SNORD31	SNORD31	0	0	0	0	0	0	0	0	0	0
SNORD32A	SNORD32A	2	27	4	4	2	6	3	4	0	13
SNORD32B	SNORD32B	0	0	0	0	0	0	0	0	0	0
SNORD33	SNORD33	159	490	300	149	165	221	114	156	148	372
SNORD34	SNORD34	0	0	0	0	0	1	0	0	0	3
SNORD35A	SNORD35A	1	13	1	4	0	1	0	0	0	4
SNORD35B	SNORD35B	2	3	1	3	0	0	0	0	0	0
SNORD36A	SNORD36A	2	12	5	5	6	6	0	1	0	9
SNORD36B	SNORD36B	0	3	0	0	0	0	0	0	0	0
SNORD36C	SNORD36C	1	4	0	0	0	0	0	0	0	1
SNORD37	SNORD37	0	0	0	0	0	0	0	0	0	0
SNORD38A	SNORD38A	0	8	1	0	1	0	1	0	1	0
SNORD38B	SNORD38B	0	0	0	0	0	0	0	0	0	0
SNORD3A	SNORD3A	652641.975	2605518.926	504603.69	624718.334	482733.388	324267.466	339677.117	464366.684	313782.887	1119205.705
SNORD3B-1	SNORD3B-1	565.736	1648.26	470.778	534.512	438.333	346.088	311.197	438.133	221.302	659.235
SNORD3C	SNORD3C	259.707	845.254	289.875	239.757	231.8	240.648	135.826	189.143	141.914	409.161
SNORD3D	SNORD3D	6.646	37.203	4.161	4.465	5.715	3.885	4.087	5.54	4.152	22.743
